date,consnond,consserv,pinond,piserv,propinc,corpprof,pdivinc,popu
1948Q1,81.5,65.3,15.627,8.329,36.4,30,7.028,102690.6667
1948Q2,83.2,67,15.784,8.411,40.2,31.8,6.676,102915.3333
1948Q3,83.5,68.3,15.937,8.538,40.6,31.2,7.088,103249
1948Q4,83.7,69.3,15.772,8.569,39.9,32.7,7.352,103417.6667
1949Q1,82.7,69.7,15.532,8.563,35.4,31,7.224,103584.3333
1949Q2,81.9,70.2,15.332,8.581,34.9,28.7,7.204,103838
1949Q3,80.3,70.2,15.157,8.608,34.2,29.9,7.112,104127.3333
1949Q4,80.9,70.9,15.043,8.67,34.2,26.6,7.412,104427.6667
1950Q1,81.5,72.1,14.948,8.706,36.2,30.1,8.288,104733.3333
1950Q2,82.8,74.2,15.017,8.738,36.8,33.9,8.372,105020.3333
1950Q3,86.6,76.5,15.447,8.872,38.5,38.4,9.156,105248.3333
1950Q4,86.7,78,15.802,8.986,38.5,41.8,9.536,104982.3333
1951Q1,92,81.6,16.468,9.15,40.9,40.7,8.38,104692.3333
1951Q2,91.4,82.8,16.618,9.216,42.5,40.6,8.632,104506.6667
1951Q3,93.2,84.3,16.583,9.266,43.2,41.1,8.58,104542.6667
1951Q4,95.5,85.7,16.792,9.407,43.7,42.4,8.688,104746.6667
1952Q1,94.8,87.4,16.809,9.473,41.7,40,8.156,104863.3333
1952Q2,96.6,89.5,16.746,9.548,43,38.1,8.712,105006.6667
1952Q3,98.5,91.6,16.776,9.649,44.7,38.1,8.6,105342.6667
1952Q4,100.3,93.6,16.845,9.722,42.8,42.4,8.772,105703
1953Q1,100.5,95.5,16.772,9.823,42.9,43.3,8.432,106672
1953Q2,100.6,97.4,16.702,9.897,42.3,42.5,9.176,106904.6667
1953Q3,99.8,99.2,16.736,10.026,41.2,41.3,9.044,107139.6667
1953Q4,100,99.5,16.731,10.125,41.6,34,8.892,107503.3333
1954Q1,101.3,101,16.787,10.183,42.7,36.5,9.436,107876.6667
1954Q2,101.3,102.9,16.842,10.203,42.1,37.8,8.88,108177
1954Q3,102.2,104.9,16.775,10.221,42.2,39.9,9.308,108443.3333
1954Q4,103.4,106.6,16.697,10.265,42,43.6,9.504,108786
1955Q1,104.5,108.5,16.696,10.323,43.7,48.8,10.048,109130.3333
1955Q2,106.1,109.6,16.648,10.36,44.3,50.1,10.168,109533.6667
1955Q3,106.9,111.3,16.665,10.409,44.6,50.2,10.78,109883.6667
1955Q4,109,114.2,16.655,10.471,44.5,51.6,10.916,110186
1956Q1,110.5,115.9,16.695,10.532,44.9,49.4,11.164,110483.3333
1956Q2,111.3,117.7,16.85,10.592,45.3,49.6,11.188,110787.6667
1956Q3,112.4,120,17.012,10.681,46.4,49.3,11.18,111113.3333
1956Q4,113.7,122.3,17.063,10.746,46.8,50.2,11.588,111431
1957Q1,115.4,123.9,17.221,10.844,46.9,51.7,11.608,111720.3333
1957Q2,116.5,125.5,17.314,10.895,47.7,50.3,11.792,112045.3333
1957Q3,119.4,127.5,17.498,10.988,48.8,49.3,11.896,112430.6667
1957Q4,119.1,129.9,17.568,11.069,47.7,45.3,11.672,112865.6667
1958Q1,119.9,130.6,17.848,11.151,50.3,39.5,11.552,113236.3333
1958Q2,121.2,133,17.882,11.19,50.3,40.6,11.676,113532
1958Q3,123,135.5,17.828,11.242,50.1,44.8,11.656,113846.3333
1958Q4,124.1,137,17.737,11.297,49.9,50.6,11.38,114283.3333
1959Q1,126.1,139.7,17.792,11.376,50.1,54.3,12.084,114714.3333
1959Q2,127.2,142.9,17.797,11.462,50.3,59.1,12.464,115139
1959Q3,128.2,146.2,17.873,11.571,50.4,54.2,12.764,115550.6667
1959Q4,129.5,149.3,17.94,11.673,50.6,54.5,12.968,115918
1960Q1,129.6,151.3,17.915,11.725,49.7,58.6,13.172,116707.6667
1960Q2,132,153.8,18.043,11.789,50.7,54.8,13.248,117036.6667
1960Q3,131.6,154.6,18.097,11.865,50.9,53.8,13.536,117411
1960Q4,132.4,156.9,18.199,11.926,51,51.5,13.508,117824.3333
1961Q1,133.4,158.9,18.226,11.957,52.3,50.2,13.564,118254.3333
1961Q2,134.2,161.9,18.099,12.009,52.6,54.5,13.64,118636
1961Q3,134.6,163.2,18.132,12.066,53.3,57.2,13.932,119000.6667
1961Q4,136.2,166.7,18.098,12.116,54.5,61.8,14.468,119189.6667
1962Q1,137.8,169.3,18.169,12.187,55.3,62.6,14.564,119378.6667
1962Q2,138.7,172.7,18.217,12.246,55,62.5,14.992,119819.3333
1962Q3,140,174.8,18.235,12.294,54.9,64.2,15.18,120368
1962Q4,141.5,177.6,18.33,12.335,55.8,66.9,15.372,121045.6667
1963Q1,142.5,179.2,18.356,12.394,56,67.2,15.76,121640
1963Q2,142.8,181.7,18.338,12.433,55.8,70.2,16.092,122166.6667
1963Q3,145.2,185.5,18.473,12.476,56.2,71.7,16.332,122669.6667
1963Q4,145.3,189,18.51,12.54,57.6,73,16.76,123188.6667
1964Q1,148.7,192.9,18.621,12.599,57.9,77.1,17.456,123708
1964Q2,151.5,196.6,18.617,12.661,58.8,77.3,18.02,124203
1964Q3,154.9,200.2,18.673,12.721,59.3,78.4,18.412,124739.3333
1964Q4,155.8,203.8,18.749,12.776,60.5,78,18.888,125289
1965Q1,157.8,207,18.806,12.831,61.9,85.8,19.208,125814
1965Q2,160.8,211.1,18.984,12.886,63.2,88,19.888,126324.6667
1965Q3,164.1,215,19.088,12.952,64,89.3,20.54,126745
1965Q4,170.5,220.1,19.131,13.034,65.6,94,21.184,127169.3333
1966Q1,174.1,223.7,19.388,13.115,69.2,97.4,21.268,127511.3333
1966Q2,177.2,228.2,19.552,13.235,67.2,96.4,20.876,127868.6667
1966Q3,179.8,232.2,19.689,13.355,67.2,94.8,20.532,128233.6667
1966Q4,180.4,237,19.812,13.486,68.1,95.9,20.004,128617
1967Q1,182.4,240.8,19.807,13.578,68.9,93.3,21.064,129043.6667
1967Q2,184,245,19.838,13.677,68.5,92.2,21.68,129527
1967Q3,185.8,250.2,20.046,13.784,70.5,93.2,22.072,130165.6667
1967Q4,187.9,254.7,20.181,13.916,70,96.8,21.224,130757.3333
1968Q1,193.5,261.9,20.39,14.085,71.7,98.1,22.604,131267
1968Q2,197.8,269.2,20.583,14.254,73.2,102.1,23.372,131712.3333
1968Q3,202.8,275.7,20.78,14.419,75,102.6,23.968,132250
1968Q4,205,282.1,20.997,14.594,75.5,104.1,24.196,132880
1969Q1,208.8,288.2,21.154,14.776,75.6,103.5,23.964,133476
1969Q2,212.2,295.7,21.449,14.976,77.1,100.3,24.124,134020.3333
1969Q3,216,302,21.748,15.174,78,97.4,24.268,134595
1969Q4,219.7,310,21.979,15.384,77.3,92.4,24.6,135246.6667
1970Q1,224.5,317.6,22.263,15.592,77.1,84.7,24.508,135949.6667
1970Q2,226.5,324,22.482,15.81,76.7,88.5,24.26,136676.6667
1970Q3,229.7,331.8,22.633,16.006,78.5,88.4,24.24,137456
1970Q4,234.5,338.4,22.835,16.242,78.9,83.5,24.22,138260.3333
1971Q1,235.8,345.3,22.872,16.461,80.3,96.6,25.048,139033.6667
1971Q2,238.8,353.4,23.111,16.679,82.8,98.7,24.956,139827.3333
1971Q3,240.4,361.7,23.313,16.913,84.6,101.4,25.168,140602.6667
1971Q4,243.6,370.8,23.462,17.072,87.9,105.8,24.936,141401.6667
1972Q1,247,381.2,23.718,17.258,87.9,111.5,26.104,143005.3333
1972Q2,254.3,389,23.773,17.4,91.3,113.4,26.428,143758.6667
1972Q3,260.1,398.1,23.983,17.571,95.5,118.2,27.104,144522.6667
1972Q4,268.1,409,24.259,17.735,105.6,125.7,27.708,145215
1973Q1,275.5,417.7,24.777,17.883,104.1,133.5,28.372,145964.3333
